Gene stable ID	UniProtKB/Swiss-Prot ID
ENSMUSG00000099655	
ENSMUSG00000050567	
ENSMUSG00000049109	Q8BGW0
ENSMUSG00000025912	
ENSMUSG00000002477	P62315
ENSMUSG00000108622	
ENSMUSG00000025371	P0C0A3
ENSMUSG00000040167	Q8BU00
ENSMUSG00000040339	Q8BQS4
ENSMUSG00000050567	Q6T264
ENSMUSG00000027225	Q9D311
ENSMUSG00000002477	
ENSMUSG00000075074	
ENSMUSG00000040167	
ENSMUSG00000040265	
ENSMUSG00000040339	
ENSMUSG00000049109	
ENSMUSG00000031637	Q9D4C6
ENSMUSG00000058709	Q91YE2
ENSMUSG00000031637	
ENSMUSG00000073898	
ENSMUSG00000000325	P98203
ENSMUSG00000095079	
ENSMUSG00000025371	
ENSMUSG00000042535	O08582
ENSMUSG00000022526	
ENSMUSG00000021872	
ENSMUSG00000042535	
ENSMUSG00000017264	P56960
ENSMUSG00000015759	O35372
ENSMUSG00000009621	
ENSMUSG00000067219	Q8BMW7
ENSMUSG00000026085	
ENSMUSG00000067219	
ENSMUSG00000030862	
ENSMUSG00000015759	
ENSMUSG00000026085	Q9D7Q0
ENSMUSG00000047502	A2AVR2
ENSMUSG00000052382	P60154
ENSMUSG00000009621	Q60992
ENSMUSG00000059648	Q5GAM9
ENSMUSG00000035775	Q9D312
ENSMUSG00000031347	Q9R1K9
ENSMUSG00000068407	Q5GAM8
ENSMUSG00000001870	
ENSMUSG00000050914	Q569N2
ENSMUSG00000031347	
ENSMUSG00000037086	A2AFE9
ENSMUSG00000001870	Q8CG19
ENSMUSG00000035932	
ENSMUSG00000049674	
ENSMUSG00000030757	
ENSMUSG00000022587	
ENSMUSG00000002014	Q62186
ENSMUSG00000050914	
ENSMUSG00000091017	
ENSMUSG00000028010	Q9CY66
ENSMUSG00000071652	Q8CHT3
ENSMUSG00000037896	Q8CFE3
ENSMUSG00000003581	Q5SPX3
ENSMUSG00000108022	
ENSMUSG00000028010	
ENSMUSG00000116347	
ENSMUSG00000003581	
ENSMUSG00000047502	
ENSMUSG00000037896	
ENSMUSG00000000325	
ENSMUSG00000069302	Q8CGP6
ENSMUSG00000040148	P42581
ENSMUSG00000035126	E9PYY5
ENSMUSG00000062727	Q8CGP1
ENSMUSG00000002014	
ENSMUSG00000043079	Q8CC35
ENSMUSG00000096740	
ENSMUSG00000051747	
ENSMUSG00000035274	Q9Z0L0
ENSMUSG00000043079	
ENSMUSG00000017264	
ENSMUSG00000039405	Q9D6X6
ENSMUSG00000022857	P97435
ENSMUSG00000035126	
ENSMUSG00000022857	
ENSMUSG00000032826	Q8C8R3
ENSMUSG00000058200	
ENSMUSG00000039405	
ENSMUSG00000006777	Q99PS0
ENSMUSG00000043154	
ENSMUSG00000071653	Q9D937
ENSMUSG00000019834	Q497L8
ENSMUSG00000060639	P62806
ENSMUSG00000020832	Q9CZU4
ENSMUSG00000022672	P97313
ENSMUSG00000045148	
ENSMUSG00000040265	Q8BZ98
ENSMUSG00000069301	C0HKE1
ENSMUSG00000069301	C0HKE2
ENSMUSG00000069301	C0HKE3
ENSMUSG00000069301	C0HKE4
ENSMUSG00000069301	C0HKE5
ENSMUSG00000069301	C0HKE6
ENSMUSG00000069301	C0HKE7
ENSMUSG00000069301	C0HKE8
ENSMUSG00000069301	C0HKE9
ENSMUSG00000110086	
ENSMUSG00000025228	P61164
ENSMUSG00000025228	
ENSMUSG00000071653	
ENSMUSG00000003032	
ENSMUSG00000073897	
ENSMUSG00000034218	
ENSMUSG00000038807	Q5SVL6
ENSMUSG00000026418	
ENSMUSG00000034218	Q62388
ENSMUSG00000069300	P10853
ENSMUSG00000087642	
ENSMUSG00000026213	Q3TAA7
ENSMUSG00000038807	
ENSMUSG00000051427	Q5SPX1
ENSMUSG00000003032	Q60793
ENSMUSG00000026301	
ENSMUSG00000075073	
ENSMUSG00000004815	Q6P5E8
ENSMUSG00000037110	
ENSMUSG00000026860	Q8R3V5
ENSMUSG00000026301	Q9CUL5
ENSMUSG00000044243	Q5RJB0
ENSMUSG00000030956	Q8BGR5
ENSMUSG00000027880	
ENSMUSG00000069814	
ENSMUSG00000053178	
ENSMUSG00000037110	A3KGS3
ENSMUSG00000022175	Q7TQH7
ENSMUSG00000028399	Q64487
ENSMUSG00000030956	
ENSMUSG00000022175	
ENSMUSG00000026860	
ENSMUSG00000028399	
ENSMUSG00000046275	Q8C838
ENSMUSG00000061751	
ENSMUSG00000020672	
ENSMUSG00000044674	O70421
ENSMUSG00000020241	Q02788
ENSMUSG00000034157	
ENSMUSG00000048329	Q8R3N2
ENSMUSG00000033075	P59110
ENSMUSG00000020241	
ENSMUSG00000060036	P27659
ENSMUSG00000060036	
ENSMUSG00000034157	Q8R0W1
ENSMUSG00000026377	Q91VE6
ENSMUSG00000026377	
ENSMUSG00000026203	Q9QYI5
ENSMUSG00000027176	Q99LI7
ENSMUSG00000026418	Q9WUZ5
ENSMUSG00000026409	
ENSMUSG00000002475	
ENSMUSG00000020672	Q925E0
ENSMUSG00000033409	Q5D525
ENSMUSG00000006204	Q8BZE1
ENSMUSG00000057191	
ENSMUSG00000002475	Q91ZH7
ENSMUSG00000029999	P48030
ENSMUSG00000071042	
ENSMUSG00000026203	
ENSMUSG00000090667	
ENSMUSG00000040405	
ENSMUSG00000029999	
ENSMUSG00000006204	
ENSMUSG00000057207	
ENSMUSG00000051359	Q91X97
ENSMUSG00000036339	
ENSMUSG00000062987	
ENSMUSG00000026356	Q922B2
ENSMUSG00000094152	
ENSMUSG00000026356	
ENSMUSG00000036339	Q8BMD6
ENSMUSG00000033075	
ENSMUSG00000051359	
ENSMUSG00000060503	
ENSMUSG00000027175	Q8BTG3
ENSMUSG00000022415	O55100
ENSMUSG00000026307	
ENSMUSG00000078908	Q8BMQ8
ENSMUSG00000024451	Q8R5G7
ENSMUSG00000043556	Q5BJ29
ENSMUSG00000032415	Q8BX13
ENSMUSG00000022288	
ENSMUSG00000073771	
ENSMUSG00000046404	Q8CB27
ENSMUSG00000049491	Q811P0
ENSMUSG00000063179	Q8BP74
ENSMUSG00000022415	
ENSMUSG00000032415	
ENSMUSG00000049491	
ENSMUSG00000063179	
ENSMUSG00000042372	
ENSMUSG00000020317	Q9JMB1
ENSMUSG00000067365	Q9CZB9
ENSMUSG00000028522	Q5UAK0
ENSMUSG00000042372	Q80WT2
ENSMUSG00000063615	
ENSMUSG00000064140	
ENSMUSG00000028796	
ENSMUSG00000067365	
ENSMUSG00000110259	
ENSMUSG00000009378	Q8BGC3
ENSMUSG00000042219	
ENSMUSG00000032537	Q8CBF3
ENSMUSG00000034871	Q8QZW3
ENSMUSG00000069299	
ENSMUSG00000032826	
ENSMUSG00000028522	
ENSMUSG00000032537	
ENSMUSG00000024451	
ENSMUSG00000026031	
ENSMUSG00000057710	
ENSMUSG00000034341	P97765
ENSMUSG00000002017	Q3TJZ6
ENSMUSG00000002017	
ENSMUSG00000009646	
ENSMUSG00000038894	P81122
ENSMUSG00000021277	
ENSMUSG00000044948	E9Q7R9
ENSMUSG00000069041	Q3V132
ENSMUSG00000026031	O35732
ENSMUSG00000030500	
ENSMUSG00000026628	Q60765
ENSMUSG00000068099	
ENSMUSG00000044948	
ENSMUSG00000021876	
ENSMUSG00000030852	
ENSMUSG00000025352	Q9Z1W4
ENSMUSG00000021277	Q60803
ENSMUSG00000072115	P21570
ENSMUSG00000042272	Q80UK0
ENSMUSG00000045912	Q5HZI2
ENSMUSG00000026895	Q9DCJ5
ENSMUSG00000079033	
ENSMUSG00000035606	
ENSMUSG00000078591	
ENSMUSG00000083193	
ENSMUSG00000054008	
ENSMUSG00000059873	
ENSMUSG00000002006	Q9QY39
ENSMUSG00000002006	
ENSMUSG00000063529	Q6P3A1
ENSMUSG00000061462	A2AAJ9
ENSMUSG00000022900	Q8CBR1
ENSMUSG00000034656	
ENSMUSG00000026894	Q9DAI9
ENSMUSG00000019988	P33215
ENSMUSG00000025068	O09131
ENSMUSG00000111590	
ENSMUSG00000034656	P97445
ENSMUSG00000003070	P52801
ENSMUSG00000030125	O35125
ENSMUSG00000025068	
ENSMUSG00000030125	
ENSMUSG00000054008	Q3UHN9
ENSMUSG00000019988	
ENSMUSG00000058013	Q8C1B7
ENSMUSG00000117975	Q3TNL8
ENSMUSG00000028351	Q920P3
ENSMUSG00000037499	Q9CQ45
ENSMUSG00000117975	
ENSMUSG00000002345	Q9D6Y4
ENSMUSG00000106627	
ENSMUSG00000030498	
ENSMUSG00000035048	Q8R034
ENSMUSG00000108367	
ENSMUSG00000112640	
ENSMUSG00000002345	
ENSMUSG00000058013	
ENSMUSG00000004815	
ENSMUSG00000040659	
ENSMUSG00000019966	P20826
ENSMUSG00000096045	
ENSMUSG00000019966	
ENSMUSG00000028796	Q9QWH1
ENSMUSG00000070980	Q9QY83
ENSMUSG00000024608	
ENSMUSG00000039768	Q5U458
ENSMUSG00000061126	
ENSMUSG00000096718	
ENSMUSG00000037664	P49919
ENSMUSG00000052099	
ENSMUSG00000034940	Q5SV85
ENSMUSG00000073938	
ENSMUSG00000005968	O08970
ENSMUSG00000091049	
ENSMUSG00000005968	
ENSMUSG00000073937	
ENSMUSG00000060827	
ENSMUSG00000037709	Q8BGI4
ENSMUSG00000075704	
ENSMUSG00000037709	
ENSMUSG00000030498	P11862
ENSMUSG00000080751	
ENSMUSG00000096183	
ENSMUSG00000034940	
ENSMUSG00000067700	
ENSMUSG00000024639	P21279
ENSMUSG00000044337	P56485
ENSMUSG00000037664	
ENSMUSG00000044337	
ENSMUSG00000034623	
ENSMUSG00000024608	P62264
ENSMUSG00000092118	E9Q5Z5
ENSMUSG00000047021	Q3V0B4
ENSMUSG00000091472	
ENSMUSG00000039768	
ENSMUSG00000072726	
ENSMUSG00000020917	
ENSMUSG00000020917	Q91V92
ENSMUSG00000002550	
ENSMUSG00000034853	Q8VHQ9
ENSMUSG00000034853	
ENSMUSG00000099611	
ENSMUSG00000047671	
ENSMUSG00000052981	
ENSMUSG00000051435	A6PWD2
ENSMUSG00000047671	Q8CDY7
ENSMUSG00000055546	Q6U7R4
ENSMUSG00000010392	O88630
ENSMUSG00000031483	
ENSMUSG00000060402	
ENSMUSG00000053399	Q4VC17
ENSMUSG00000070979	Q9QY84
ENSMUSG00000060402	Q8BQ86
ENSMUSG00000028874	P14234
ENSMUSG00000109946	
ENSMUSG00000020264	Q8BHK3
ENSMUSG00000025069	
ENSMUSG00000032534	Q3UPP8
ENSMUSG00000040760	Q8K3H0
ENSMUSG00000006538	P97812
ENSMUSG00000053399	
ENSMUSG00000032396	Q8C0S1
ENSMUSG00000025069	Q8K2Q2
ENSMUSG00000029082	
ENSMUSG00000026162	
ENSMUSG00000041782	P57016
ENSMUSG00000091692	
ENSMUSG00000032396	
ENSMUSG00000031483	Q8BFZ9
ENSMUSG00000075121	
ENSMUSG00000032534	
ENSMUSG00000070702	
ENSMUSG00000055128	Q8BMJ7
ENSMUSG00000091586	
ENSMUSG00000055128	
ENSMUSG00000040258	
ENSMUSG00000072575	
ENSMUSG00000063428	Q922Z0
ENSMUSG00000063428	
ENSMUSG00000022378	Q921M7
ENSMUSG00000032531	
ENSMUSG00000029320	Q9DAA3
ENSMUSG00000028680	
ENSMUSG00000022378	
ENSMUSG00000028803	
ENSMUSG00000020687	A2A6Q5
ENSMUSG00000091676	
ENSMUSG00000028803	Q8BGN5
ENSMUSG00000039901	Q6PD19
ENSMUSG00000020687	
ENSMUSG00000035798	Q80TN5
ENSMUSG00000002799	Q9QYE5
ENSMUSG00000033610	Q8K4K6
ENSMUSG00000000326	O88587
ENSMUSG00000074811	Q8BLY7
ENSMUSG00000002799	
ENSMUSG00000030852	Q9JJG0
ENSMUSG00000023456	P17751
ENSMUSG00000033610	
ENSMUSG00000071856	
ENSMUSG00000023456	
ENSMUSG00000029320	
ENSMUSG00000000326	
ENSMUSG00000032688	Q2TBA3
ENSMUSG00000054150	Q4FZC9
ENSMUSG00000039254	Q8R2R1
ENSMUSG00000028801	Q9D2F5
ENSMUSG00000038451	O88838
ENSMUSG00000020315	Q62261
ENSMUSG00000038451	
ENSMUSG00000041598	Q9JM96
ENSMUSG00000016477	
ENSMUSG00000039419	
ENSMUSG00000032688	
ENSMUSG00000062031	Q8BP56
ENSMUSG00000033885	
ENSMUSG00000016477	O35261
ENSMUSG00000058952	
ENSMUSG00000028909	B1AUH1
ENSMUSG00000044923	Q8VFL5
ENSMUSG00000030960	Q9D853
ENSMUSG00000041598	
ENSMUSG00000030960	
ENSMUSG00000020315	
ENSMUSG00000062031	
ENSMUSG00000056537	Q9WTV7
ENSMUSG00000033885	Q8BX57
ENSMUSG00000091771	
ENSMUSG00000046615	Q9D9J3
ENSMUSG00000065990	
ENSMUSG00000070702	P19228
ENSMUSG00000039254	
ENSMUSG00000093626	H3BJG9
ENSMUSG00000063787	Q9CQA6
ENSMUSG00000042104	
ENSMUSG00000007207	O35526
ENSMUSG00000058952	Q61129
ENSMUSG00000028909	
ENSMUSG00000007207	
ENSMUSG00000063787	
ENSMUSG00000070407	Q9QZS6
ENSMUSG00000020598	Q810U4
ENSMUSG00000076612	
ENSMUSG00000065990	Q9DCJ7
ENSMUSG00000035798	
ENSMUSG00000028180	Q9R020
ENSMUSG00000033540	
ENSMUSG00000039865	Q921V7
ENSMUSG00000040473	Q8BH53
ENSMUSG00000039419	Q9CPW0
ENSMUSG00000040473	
ENSMUSG00000035277	O35085
ENSMUSG00000043267	
ENSMUSG00000028180	
ENSMUSG00000057715	Q8BZJ8
ENSMUSG00000061751	A2CG49
ENSMUSG00000034021	Q4VA53
ENSMUSG00000026587	Q61137
ENSMUSG00000028184	
ENSMUSG00000026205	
ENSMUSG00000020741	
ENSMUSG00000064165	Q6IFX4
ENSMUSG00000033423	Q8C460
ENSMUSG00000031767	Q99P30
ENSMUSG00000033423	
ENSMUSG00000031290	
ENSMUSG00000026587	
ENSMUSG00000000248	Q9D676
ENSMUSG00000000248	
ENSMUSG00000005354	
ENSMUSG00000034021	
ENSMUSG00000038365	
ENSMUSG00000031290	Q3UMG5
ENSMUSG00000031584	P47791
ENSMUSG00000060131	
ENSMUSG00000041482	
ENSMUSG00000020598	
ENSMUSG00000030352	Q8BJU2
ENSMUSG00000038365	Q9D2Y6
ENSMUSG00000039759	Q8BJ25
ENSMUSG00000048483	A0PK84
ENSMUSG00000005354	P97493
ENSMUSG00000057715	
ENSMUSG00000039759	
ENSMUSG00000003380	Q9Z0S9
ENSMUSG00000074812	
ENSMUSG00000030510	Q1A3B0
ENSMUSG00000026915	Q91WM1
ENSMUSG00000095916	
ENSMUSG00000032531	Q8K371
ENSMUSG00000026915	
ENSMUSG00000067872	Q8CDL9
ENSMUSG00000034032	Q80TE0
ENSMUSG00000003949	Q8BW74
ENSMUSG00000003380	
ENSMUSG00000099787	
ENSMUSG00000020312	Q8BMC3
ENSMUSG00000003949	
ENSMUSG00000042796	
ENSMUSG00000041482	Q8CD54
ENSMUSG00000028494	P43883
ENSMUSG00000111660	
ENSMUSG00000033054	Q8BMA5
ENSMUSG00000028494	
ENSMUSG00000022762	O35136
ENSMUSG00000074248	
ENSMUSG00000030352	
ENSMUSG00000071669	Q9D3S3
ENSMUSG00000038005	
ENSMUSG00000062121	Q60888
ENSMUSG00000031349	Q9R1J0
ENSMUSG00000071669	
ENSMUSG00000035298	Q9CZ49
ENSMUSG00000035298	
ENSMUSG00000026558	Q99PM9
ENSMUSG00000067299	P04342
ENSMUSG00000026558	
ENSMUSG00000067299	
ENSMUSG00000090436	
ENSMUSG00000020354	P82347
ENSMUSG00000020354	
ENSMUSG00000021466	Q61115
ENSMUSG00000079502	
ENSMUSG00000034032	
ENSMUSG00000075318	
ENSMUSG00000028785	P84075
ENSMUSG00000039367	
ENSMUSG00000051596	Q80VM9
ENSMUSG00000046844	Q80TB8
ENSMUSG00000037750	Q6P539
ENSMUSG00000100512	D3YYM0
ENSMUSG00000046844	
ENSMUSG00000051596	
ENSMUSG00000094902	
ENSMUSG00000037750	
ENSMUSG00000026782	P62484
ENSMUSG00000073119	
ENSMUSG00000021466	
ENSMUSG00000038925	
ENSMUSG00000095839	
ENSMUSG00000041815	Q8BG81
ENSMUSG00000008874	Q9EPW4
ENSMUSG00000061371	
ENSMUSG00000026782	
ENSMUSG00000041815	
ENSMUSG00000038005	Q8CFE2
ENSMUSG00000057116	
ENSMUSG00000025952	Q61597
ENSMUSG00000055943	Q9EP72
ENSMUSG00000025952	
ENSMUSG00000028785	
ENSMUSG00000054517	Q8BFW4
ENSMUSG00000027270	
ENSMUSG00000075318	B1AWN6
ENSMUSG00000029097	Q9D2Q2
ENSMUSG00000073658	P04344
ENSMUSG00000024074	Q9JLL0
ENSMUSG00000029097	
ENSMUSG00000039357	Q8BHC9
ENSMUSG00000024074	
ENSMUSG00000045392	
ENSMUSG00000027270	Q9D387
ENSMUSG00000003344	
ENSMUSG00000031554	
ENSMUSG00000094921	
ENSMUSG00000055612	Q9D0M2
ENSMUSG00000055612	
ENSMUSG00000102091	
ENSMUSG00000045382	
ENSMUSG00000094353	Q60895
ENSMUSG00000091617	
ENSMUSG00000045608	
ENSMUSG00000062960	
ENSMUSG00000091227	
ENSMUSG00000116024	
ENSMUSG00000009654	Q8R4V5
ENSMUSG00000035963	Q3TZ65
ENSMUSG00000055041	
ENSMUSG00000074802	
ENSMUSG00000055820	
ENSMUSG00000022280	P50636
ENSMUSG00000022280	
ENSMUSG00000021880	
ENSMUSG00000028128	
ENSMUSG00000030400	O08811
ENSMUSG00000095903	
ENSMUSG00000061689	B1AZP2
ENSMUSG00000032547	Q01887
ENSMUSG00000030400	
ENSMUSG00000070568	
ENSMUSG00000061689	
ENSMUSG00000032547	
ENSMUSG00000033669	
ENSMUSG00000035896	
ENSMUSG00000042459	P07743
ENSMUSG00000042459	
ENSMUSG00000039753	
ENSMUSG00000020773	Q8C0E3
ENSMUSG00000038132	D3Z4I3
ENSMUSG00000035437	
ENSMUSG00000041135	P58801
ENSMUSG00000028786	Q9D7S1
ENSMUSG00000041135	
ENSMUSG00000038280	
ENSMUSG00000028786	
ENSMUSG00000031554	Q3TTE0
ENSMUSG00000059606	O35292
ENSMUSG00000038280	Q8BGT0
ENSMUSG00000034660	Q810H5
ENSMUSG00000010721	Q9JIT0
ENSMUSG00000031197	
ENSMUSG00000030850	Q9Z2A5
ENSMUSG00000034660	
ENSMUSG00000028832	P54227
ENSMUSG00000059901	
ENSMUSG00000028832	
ENSMUSG00000010721	
ENSMUSG00000025474	
ENSMUSG00000031197	P61759
ENSMUSG00000068264	
ENSMUSG00000070000	Q8K285
ENSMUSG00000073117	
ENSMUSG00000030850	
ENSMUSG00000075120	
ENSMUSG00000048440	
ENSMUSG00000009114	
ENSMUSG00000039753	Q8C2S5
ENSMUSG00000056121	
ENSMUSG00000040322	Q8BMD8
ENSMUSG00000112160	
ENSMUSG00000040322	
ENSMUSG00000042895	Q8BUZ1
ENSMUSG00000078435	
ENSMUSG00000058028	
ENSMUSG00000068264	Q9D742
ENSMUSG00000056121	Q6TYB5
ENSMUSG00000075119	
ENSMUSG00000024999	Q8VI84
ENSMUSG00000022403	Q99L47
ENSMUSG00000040125	Q8BZA7
ENSMUSG00000026890	Q9R1R0
ENSMUSG00000022403	
ENSMUSG00000037692	Q6PAL7
ENSMUSG00000073116	
ENSMUSG00000024462	Q9WV18
ENSMUSG00000004383	Q9Z1M7
ENSMUSG00000026626	Q6PD03
ENSMUSG00000075117	
ENSMUSG00000002565	Q60604
ENSMUSG00000096490	
ENSMUSG00000022517	Q9D074
ENSMUSG00000041341	
ENSMUSG00000024462	
ENSMUSG00000026626	
ENSMUSG00000044147	P62331
ENSMUSG00000058488	O35082
ENSMUSG00000062931	
ENSMUSG00000026890	
ENSMUSG00000025474	Q921G8
ENSMUSG00000040714	Q91W40
ENSMUSG00000032548	Q9EPT5
ENSMUSG00000112931	
ENSMUSG00000045555	Q8CCB5
ENSMUSG00000035437	A2AWA9
ENSMUSG00000028184	Q8JZZ7
ENSMUSG00000051940	
ENSMUSG00000091101	
ENSMUSG00000030967	Q7M760
ENSMUSG00000040714	
ENSMUSG00000030967	
ENSMUSG00000112856	
ENSMUSG00000008482	Q9CQ29
ENSMUSG00000025470	
ENSMUSG00000053465	Q9QYK4
ENSMUSG00000008482	
ENSMUSG00000026627	Q9D771
ENSMUSG00000096744	
ENSMUSG00000032549	
ENSMUSG00000024294	Q80SY4
ENSMUSG00000096640	
ENSMUSG00000094314	
ENSMUSG00000041341	Q80XK6
ENSMUSG00000025470	Q6P0X2
ENSMUSG00000030621	Q8BMF3
ENSMUSG00000110358	
ENSMUSG00000001150	Q9WUU9
ENSMUSG00000024294	
ENSMUSG00000024697	P30677
ENSMUSG00000094520	
ENSMUSG00000067698	
ENSMUSG00000024697	
ENSMUSG00000001150	
ENSMUSG00000059908	P28665
ENSMUSG00000056600	
ENSMUSG00000070000	
ENSMUSG00000022516	Q8VHN8
ENSMUSG00000038648	Q8BH52
ENSMUSG00000009376	
ENSMUSG00000032549	P61294
ENSMUSG00000044715	
ENSMUSG00000030621	
ENSMUSG00000022516	
ENSMUSG00000006191	Q91WE6
ENSMUSG00000042148	Q8CFY5
ENSMUSG00000036606	B2RXS4
ENSMUSG00000033126	Q8CAV0
ENSMUSG00000021966	Q9D9M0
ENSMUSG00000091239	
ENSMUSG00000094204	
ENSMUSG00000044715	Q8BGR8
ENSMUSG00000075072	
ENSMUSG00000006191	
ENSMUSG00000040298	E9Q173
ENSMUSG00000040298	
ENSMUSG00000049057	
ENSMUSG00000095377	
ENSMUSG00000021938	Q8R326
ENSMUSG00000053164	Q8BX79
ENSMUSG00000028064	Q62178
ENSMUSG00000059169	
ENSMUSG00000047894	Q64438
ENSMUSG00000046449	Q5DTT1
ENSMUSG00000021938	
ENSMUSG00000089892	
ENSMUSG00000066262	
ENSMUSG00000026109	
ENSMUSG00000059169	Q6IFX3
ENSMUSG00000076613	
ENSMUSG00000073932	
ENSMUSG00000030859	Q8CF27
ENSMUSG00000032047	Q8QZT1
ENSMUSG00000044581	
ENSMUSG00000035024	
ENSMUSG00000049149	
ENSMUSG00000055643	
ENSMUSG00000073931	
ENSMUSG00000034432	Q8VBV7
ENSMUSG00000051340	
ENSMUSG00000028064	
ENSMUSG00000026109	Q9QYM9
ENSMUSG00000044819	Q6IYF8
ENSMUSG00000110012	
ENSMUSG00000000440	
ENSMUSG00000032553	P47758
ENSMUSG00000061118	P59041
ENSMUSG00000044533	
ENSMUSG00000024076	Q8VHI5
ENSMUSG00000109824	
ENSMUSG00000024076	
ENSMUSG00000066263	
ENSMUSG00000011837	Q91XA5
ENSMUSG00000053367	E9Q7F5
ENSMUSG00000044533	P25444
ENSMUSG00000006678	P33609
ENSMUSG00000011837	
ENSMUSG00000094063	
ENSMUSG00000053367	
ENSMUSG00000002804	Q9D142
ENSMUSG00000032553	
ENSMUSG00000034432	
ENSMUSG00000047710	Q8K327
ENSMUSG00000090219	
ENSMUSG00000025351	P41731
ENSMUSG00000002804	
ENSMUSG00000045954	Q63918
ENSMUSG00000042682	Q9JLJ1
ENSMUSG00000049797	
ENSMUSG00000025351	
ENSMUSG00000041757	
ENSMUSG00000042682	
ENSMUSG00000027247	
ENSMUSG00000031585	Q9D902
ENSMUSG00000029004	
ENSMUSG00000030016	
ENSMUSG00000039913	Q8C015
ENSMUSG00000031585	
ENSMUSG00000053560	P17950
ENSMUSG00000047777	Q8K2W6
ENSMUSG00000048827	Q2EG98
ENSMUSG00000031458	Q9CQ13
ENSMUSG00000079364	
ENSMUSG00000039358	Q8BLD9
ENSMUSG00000031458	
ENSMUSG00000094500	
ENSMUSG00000066441	Q9QYF1
ENSMUSG00000027247	Q5FWK3
ENSMUSG00000110104	
ENSMUSG00000094706	
ENSMUSG00000066441	
ENSMUSG00000066979	Q9WVA3
ENSMUSG00000045915	Q5SV66
ENSMUSG00000031162	P17679
ENSMUSG00000045915	
ENSMUSG00000031162	
ENSMUSG00000022558	
ENSMUSG00000048827	
ENSMUSG00000025489	O88728
ENSMUSG00000020310	
ENSMUSG00000073700	Q3U410
ENSMUSG00000066979	
ENSMUSG00000078651	Q812C9
ENSMUSG00000078651	
ENSMUSG00000020310	Q61826
ENSMUSG00000046932	
ENSMUSG00000022586	Q9WU67
ENSMUSG00000048720	
ENSMUSG00000005378	
ENSMUSG00000074939	Q920H4
ENSMUSG00000004637	Q91WL8
ENSMUSG00000031729	Q9CX00
ENSMUSG00000069722	Q9D638
ENSMUSG00000026489	Q60936
ENSMUSG00000033170	
ENSMUSG00000060591	Q99J93
ENSMUSG00000026489	
ENSMUSG00000033170	P58660
ENSMUSG00000095872	
ENSMUSG00000054733	Q9D6Y7
ENSMUSG00000054733	
ENSMUSG00000042116	Q8R2Z5
ENSMUSG00000028271	P62915
ENSMUSG00000006205	Q9R118
ENSMUSG00000059645	
ENSMUSG00000044816	
ENSMUSG00000027999	Q9EPR2
ENSMUSG00000057540	
ENSMUSG00000027999	
ENSMUSG00000029004	Q3UG20
ENSMUSG00000044816	Q8C3M9
ENSMUSG00000038840	A2AWP0
ENSMUSG00000095387	
ENSMUSG00000083282	Q9R013
ENSMUSG00000034762	Q8K1M4
ENSMUSG00000068806	
ENSMUSG00000034762	
ENSMUSG00000094023	
ENSMUSG00000083282	
ENSMUSG00000042567	
ENSMUSG00000044429	P04345
ENSMUSG00000042567	Q3UGM2
ENSMUSG00000044250	Q8BGX1
ENSMUSG00000040726	Q61658
ENSMUSG00000034653	B2RR83
ENSMUSG00000062464	
ENSMUSG00000100846	
ENSMUSG00000034653	
ENSMUSG00000026556	
ENSMUSG00000019326	O70423
ENSMUSG00000076614	
ENSMUSG00000032024	Q8R373
ENSMUSG00000019326	
ENSMUSG00000037202	P10820
ENSMUSG00000048312	
ENSMUSG00000024430	Q9D424
ENSMUSG00000024430	
ENSMUSG00000073427	
ENSMUSG00000041671	Q3TMV7
ENSMUSG00000025878	
ENSMUSG00000091490	
ENSMUSG00000044250	
ENSMUSG00000020308	Q99MS8
ENSMUSG00000042894	
ENSMUSG00000021038	Q8BGQ1
ENSMUSG00000031485	Q9Z2Y8
ENSMUSG00000037570	Q99L90
ENSMUSG00000048218	Q80ZD9
ENSMUSG00000031485	
ENSMUSG00000037348	Q80ZE4
ENSMUSG00000064210	Q6P9J9
ENSMUSG00000026944	
ENSMUSG00000068877	
ENSMUSG00000031163	Q9D8I3
ENSMUSG00000062604	
ENSMUSG00000064210	
ENSMUSG00000037348	
ENSMUSG00000076615	
ENSMUSG00000056131	Q9CYR6
ENSMUSG00000056131	
ENSMUSG00000037570	
ENSMUSG00000089728	
ENSMUSG00000032554	Q921I1
ENSMUSG00000050766	
ENSMUSG00000061411	
ENSMUSG00000072931	
ENSMUSG00000049515	Q3UYR4
ENSMUSG00000049515	
ENSMUSG00000026556	Q91ZD4
ENSMUSG00000022557	P97452
ENSMUSG00000032554	
ENSMUSG00000043061	Q3TUD9
ENSMUSG00000031075	
ENSMUSG00000054054	
ENSMUSG00000034161	Q64124
ENSMUSG00000000037	
ENSMUSG00000069721	Q9D638
ENSMUSG00000005378	Q9CY21
ENSMUSG00000025491	Q9D103
ENSMUSG00000069297	
ENSMUSG00000078132	
ENSMUSG00000031075	Q8BHY3
ENSMUSG00000048644	Q8K129
ENSMUSG00000028794	Q3V1N9
ENSMUSG00000018648	Q9JLY7
ENSMUSG00000047564	A2A591
ENSMUSG00000078521	E9Q6Z5
ENSMUSG00000047253	
ENSMUSG00000069296	
ENSMUSG00000021102	
ENSMUSG00000094186	
ENSMUSG00000075567	
ENSMUSG00000018648	
ENSMUSG00000021373	Q9CYT6
ENSMUSG00000009640	Q9JI44
ENSMUSG00000054893	Q2TL60
