		E-GEOD-11941	E-GEOD-12113	E-GEOD-29598	E-GEOD-32920	E-GEOD-48433	E-GEOD-48433	E-GEOD-48433	E-GEOD-48433	E-GEOD-57116	E-GEOD-57116	E-GEOD-60052	E-GEOD-63252	E-GEOD-63452	E-MTAB-3645	E-MTAB-6491	E-MTAB-6681	E-MTAB-6724	E-MTAB-6865	E-TABM-868
ENSG00000164244	PRRC1	0.8	0.5	-0.1		-0.4	-0.1	0.99	0.8	0.5	-0.3	0.2	3.4	-0.5		0.2	0.5	0.1	0.1	0.1
ENSG00000164251	F2RL1	1.4	-0.6	0.6		-0.2	0.7	1.5	0.7	-0.3	-1.3	-0.2	0.1	-1.6			0.6		-0.1	
ENSG00000164252	AGGF1	0.7		-1.2	-0.5	0.1	-0.5	-0.4	0.1	-0.3	0.2	0.7	2.3	0.99			0.2	0.1	-1.5	-0.3
ENSG00000164253	WDR41	-0.1	-0.2	0.1		-0.4	0.3	0.3	0.6	0.3	-0.2		0.8	-0.9		0.99	0.2	0.1	1.3	-0.3
ENSG00000164258	NDUFS4	0.3		-1.2		0.99	-1.0	-1.6	0.99	0.6	1.2	0.2	2.5	-0.2		-0.7	0.3	0.99	1.4	0.99
ENSG00000164266	SPINK1	1.3	0.2	0.4		-4.1	0.3	0.4	0.3			2.4	0.99	1.2						0.99
ENSG00000164270	HTR4	-0.3		0.3		0.99	0.2	0.3	-0.4	2.5	0.99		-1.1			0.4				
ENSG00000164283	ESM1	-0.2		0.4		0.99	0.2	0.8	-4.6			-0.9	0.99			0.99			-0.8	
ENSG00000164284	GRPEL2	0.4	0.6			-0.4	0.7	0.6	-0.1	-0.4	0.4	-0.2	2.9	-0.7		-0.1	0.4	0.99	-0.9	0.1
ENSG00000164291	ARSK					-0.3	0.3	0.6	0.4	0.1	-0.8	-0.2	-0.4	-0.2		1.4	0.6	0.2	0.99	
ENSG00000164292	RHOBTB3	-1.3	0.6	-1.0	-0.7	-0.7	-2.1	-1.8	-0.9	0.8	0.99		0.3	0.1		0.8	0.2	0.1	-0.8	-0.5
ENSG00000164294	GPX8	-0.7				-2.3	-0.9	-0.8	0.99	0.1	-0.1	-0.3	2.6	0.4		0.9	0.99	0.99		0.99
ENSG00000164296	TIGD6			0.5		-0.6	-0.3	-0.2	-0.2	-0.8	1.6	0.5	-0.1	-1.3		0.99	0.1	0.99	-0.9	0.99
ENSG00000164300	SERINC5	-1.5	0.6	-0.8	-0.5	-0.4	0.99	-0.1	0.5	0.6	-0.1	-0.4	2.1	-0.9			0.4	-0.3	-0.7	0.6
ENSG00000164303	ENPP6					0.99	-0.1	-0.1	0.99	3.7	2.0	1.7	-0.5				0.99		4.9	0.1
ENSG00000164304	CAGE1					0.3	0.99	0.99	0.99	-1.1	2.3	2.8	0.99	0.99					0.99	0.99
ENSG00000164305	CASP3	1.0	-0.1	-0.5		-0.5	0.7	0.5	1.3	-0.9	-0.3	0.3	1.4	0.4		-1.0	0.4	0.5	2.0	0.4
ENSG00000164306	PRIMPOL		0.2			-0.9	0.8	0.7	0.6	-0.5	0.3	0.5	1.6	-0.4		-0.4	0.3	-0.1	-0.4	-0.4
ENSG00000164307	ERAP1	-1.0	0.7	0.99		-0.5	0.99	0.99	-0.7	0.2	-0.9	-0.9	1.7	-0.3		1.6	-0.1	-0.4	-0.7	1.1
ENSG00000164308	ERAP2	0.4	0.3	-1.6		-0.3	-0.8	-0.6	-0.2	-0.1	-1.6	-0.9	0.99	1.4		0.8	0.2	-0.2	-1.3	0.7
ENSG00000164309	CMYA5	-0.7				0.99	-0.2	-0.3	-0.4	3.3	1.3		0.1	-0.4		0.4		-0.1	-2.2	1.4
ENSG00000164318	EGFLAM	-0.3	-0.4			1.5	0.99	0.99	-0.2	-0.3	-0.1	1.3	-0.9	1.1						0.1
ENSG00000164323	CFAP97	0.3	1.0			0.99	0.9	0.5	0.6	0.3	-0.7	-0.1	2.2	-0.9		-0.8	0.6	0.1	-2.2	0.99
ENSG00000164325	TMEM174	-0.2	0.5			-0.2	0.99	0.99	-0.3			0.7	-1.0			0.99				0.4
ENSG00000164327	RICTOR	1.8	0.5			-1.1	0.1	-0.3	-1.3	0.7	-0.4	-0.2	4.4	-1.1		0.99	0.99	0.1	-4.3	1.4
ENSG00000164329	TENT2	0.4	0.5			-0.2	0.4	0.1	-0.2	0.5	0.8	-0.3	3.6	-0.6		0.99	0.1	0.99	-1.3	0.7
ENSG00000164330	EBF1		0.5			1.6	1.5	1.0	-0.2	-0.2	-1.2	-0.1	-0.4				0.3	0.4	-0.1	2.2
ENSG00000164331	ANKRA2	0.9	0.2	-0.3	-0.9	-1.4	-0.8	-1.1	-2.0	-0.6	0.8	-0.2	3.1	-0.7		-0.9	-0.1	0.99	-0.1	0.7
ENSG00000164332	UBLCP1	1.2	-0.2			-1.8	0.1	0.99	-0.7	0.8	1.0	-0.4	3.2	-1.8		-0.6	0.2	0.3	-2.4	0.4
ENSG00000164338	UTP15	1.5	-0.3			-0.4	0.6	0.6	0.5	0.5	1.0	0.4	1.3	0.8		-0.7	0.1	0.2	-1.7	-1.1
ENSG00000164342	TLR3	-0.3	0.4	0.3		-2.4	-2.3	-1.9	1.0	-0.3	-0.9	-0.6	0.99	0.2		-2.0	1.3	-0.6	-3.7	
ENSG00000164344	KLKB1	-0.3		0.8		0.1	0.6	0.6	0.5	3.5	0.99		0.99	0.99		0.5		0.99	-3.2	0.4
ENSG00000164346	NSA2	-0.1	0.2	-0.6		0.99	0.99	0.99	-0.3	1.0	1.0	0.1	2.0	-0.1		-1.0	0.3	0.4	-0.8	0.99
ENSG00000164347	GFM2		-0.1			-0.3	-0.3	-0.3	0.99	0.6	0.3	0.3	1.8	0.99		0.99	0.1	-0.2	0.5	0.99
ENSG00000164362	TERT			0.8	0.99	0.99	0.2	0.1	1.8	0.99	-0.7	2.9	-0.8	2.1			-1.5		2.8	0.99
ENSG00000164363	SLC6A18	-0.3	-0.5			-0.2	0.99	-0.2	0.5	0.1	0.8	2.8	-0.3							
ENSG00000164366	CCDC127		-0.3			-0.7	-0.8	-0.7	0.99	-1.5	-0.5	1.1	0.99	0.4		0.4	0.99	-0.2	0.8	
ENSG00000164379	FOXQ1	1.1	-0.4			0.99	-2.2	-1.5	0.2	-3.2	-0.6	-1.1	-0.7	-1.4						-0.6
ENSG00000164385	LINC01600	-0.3				0.99	-0.1	0.99	0.99	-1.3	1.5	3.9	-0.3	0.99		0.2	0.2			0.99
ENSG00000164393	ADGRF2					0.99	0.99	0.99	0.99	4.7	2.0	-0.3	-0.3	0.99		0.99				
ENSG00000164398	ACSL6	-0.6		0.4		0.99	-0.5	-0.5	-0.6			0.5	-0.5	1.0		-0.5	0.1		-4.2	
ENSG00000164400	CSF2			0.6		0.99	3.3	2.7	-0.5					0.6		-1.9			8.3	1.3
ENSG00000164402	SEPTIN8	1.2	0.2	0.99		1.5	-0.1	0.99	1.1	0.5	-0.1	0.3	0.99	0.1		-0.6	0.99	0.1	0.9	-0.7
ENSG00000164403	SHROOM1	-0.2				-0.6	-0.3	-0.2	0.99	-1.7	-1.2	-1.1	-1.1	0.3		0.2	-0.2	-0.1	5.4	-0.3
ENSG00000164404	GDF9	-0.2		0.3		-0.2	0.99	0.99	-0.3	0.4	2.0	2.0	-1.0	-0.4		0.99	-0.1		-0.9	0.1
ENSG00000164405	UQCRQ		-0.4	-0.2		0.2	-1.2	-1.1	0.3	0.1	1.6	0.4	0.99	0.6		-0.4	0.99	0.4	1.3	-0.3
ENSG00000164406	LEAP2		0.3			0.3	-0.2	-0.2	-2.2	0.1	1.1		0.99	-0.7		-0.8	-0.5	-0.4	0.6	0.99
ENSG00000164414	SLC35A1									0.2	-0.9	-0.5		-0.3			0.1	-0.5	-1.1	
ENSG00000164418	GRIK2	-0.3		0.9		0.99	-1.6	-1.6	0.3	0.9	0.99	1.0	0.2	0.1		0.3	-0.3	-0.4	0.99	0.3
ENSG00000164430	CGAS	0.3	0.1			1.1	1.2	1.4	0.4	0.2	0.4	0.7	0.6	0.99		-0.4	1.1	0.5	2.4	0.3
ENSG00000164440	TXLNB					0.99	0.99	0.99	0.1			0.5	-0.5			-2.7	0.9	0.2	-2.9	0.8
ENSG00000164442	CITED2	1.0	-0.4	-1.2	-0.3	-1.3	-0.8	-1.2	-0.6	-2.0	0.5	-1.5	0.8	-0.4		0.9	0.1	0.6	-1.2	-0.7
ENSG00000164451	CALHM4									4.3	0.99	0.5								
ENSG00000164458	TBXT			0.4		0.99	0.99	0.2	-0.4	1.5	0.6	1.4	-0.8							0.99
ENSG00000164463	CREBRF	2.0	1.1			-0.9	-0.7	-1.1	-3.2	-0.4	-0.9	-0.6	1.9	-0.9		0.2	-0.2	0.2	-4.8	2.4
ENSG00000164465	DCBLD1	0.5	-0.6			0.4	-1.1	-1.3	0.3	-0.2	-1.1	-0.9	1.6	1.1		0.99	0.99	-0.3	-0.8	1.8
ENSG00000164466	SFXN1	-0.3	-0.3	0.7		0.99	-0.6	-0.5	0.7	0.6	-0.4	1.1	0.5	0.6		-1.0	0.1	-0.1	2.1	-0.4
ENSG00000164483	SAMD3					0.99	-0.2	0.99	0.99			0.5	-0.7						-3.8	0.2
ENSG00000164484	TMEM200A		0.3			0.99	-0.4	-0.3	0.1	3.3	2.6		0.2			-1.0	0.2	-0.2	-0.4	-1.4
ENSG00000164494	PDSS2		0.1	0.2		1.1	0.4	0.5	1.2	0.4	0.2	0.1	1.3	-0.4		0.1	0.4	0.2	0.6	0.99
ENSG00000164506	STXBP5	0.4	1.5			0.99	-0.5	-0.6	-0.6	0.4	-0.3	0.5	0.8	0.1		0.8	0.99	0.2	-1.7	0.2
ENSG00000164508	H2AC1									1.8	2.8									
ENSG00000164509	IL31RA	-0.3				0.99	-1.4	-1.5	0.99	0.8	-0.8	2.5	0.6	-0.1				-0.5	1.6	0.99
ENSG00000164530	PI16	-0.8				0.2	0.6	0.6	0.2	-0.3	-0.9	1.4	-0.7	0.99		0.3		0.99	-2.8	
ENSG00000164532	TBX20		-0.6			0.99	0.99	0.1	0.4	-0.7	-2.1	0.7	-0.3					0.4	0.99	-0.2
ENSG00000164535	DAGLB	1.6	-0.9			0.99	0.6	0.4	0.2	0.3	-1.0	-0.9	0.99	0.99		1.8	-0.2	-0.3	-0.1	-0.8
ENSG00000164542	KIAA0895	1.0	0.5	-0.1	0.99	-0.8	-0.9	-0.6	-0.2	-0.4	-1.0	0.8	1.7	0.2			0.8	0.99	-2.0	0.1
ENSG00000164543	STK17A	0.3	-0.6	-1.4		-1.0	1.0	1.2	0.3	-0.3	-1.1	0.3	1.1	1.0		-1.5	0.2	0.2	-0.3	1.1
ENSG00000164548	TRA2A	0.9	0.9	-1.3	-0.2	-0.9	-0.3	-0.4	-0.2	-0.2	0.8	0.2	0.7	-1.0		0.1	-0.3	0.3	-1.1	-0.1
ENSG00000164556	FAM183BP											1.3							-2.9	
ENSG00000164587	RPS14	0.3	0.2	-1.4		0.99	0.99	0.99	0.99	0.8	1.3	-0.5	0.99	0.99		-0.5	0.99	0.5	-0.7	
ENSG00000164588	HCN1	-0.4				0.99	0.2	0.3	0.6			0.6	-1.0							0.99
ENSG00000164591	MYOZ3			0.5		0.99	-0.1	-0.1	0.2	2.4	1.0	1.5	-1.2	-0.6		0.99	0.2		0.9	
ENSG00000164597	COG5	-0.3	0.4	-0.6		-0.5	-0.2	-0.3	-0.6	0.3	-0.3	0.2	3.5	-0.9			0.1	0.1	-0.2	0.99
ENSG00000164603	BMT2	0.3	0.6			0.3	-0.5	-0.8	0.4	-0.2	-1.5	-0.1	2.6	0.3		0.1	0.1	0.1	-2.0	1.4
ENSG00000164604	GPR85			-0.4		0.3	1.5	0.9	0.1			1.0	0.99	1.5		0.99	0.1	-0.4	2.2	-1.4
ENSG00000164609	SLU7	0.9	0.3			-0.6	0.1	0.2	-0.1	0.2	1.1	-0.3	2.9	-1.0		-0.4	0.99	0.3	-1.3	0.8
ENSG00000164610	RP9	1.2	0.3			-0.2	0.4	0.6	0.2	-1.5	0.4	0.3	0.9	-2.0		-1.2	0.99	-0.1	0.1	-0.5
ENSG00000164611	PTTG1	-0.3	-1.0	-0.5		3.8	0.8	0.9	4.5	0.4	1.3	1.4	-2.5	0.2		-1.5	0.4	0.3	5.8	-1.0
ENSG00000164615	CAMLG	0.1	0.8	0.7		0.99	-0.7	-0.7	0.99	1.1	0.5		2.6	0.2		-0.5	0.3	0.1	1.2	0.99
ENSG00000164619	BMPER					0.99	-0.7	-0.6	-2.6	2.7	1.1	-0.5	-0.5	0.3			0.99	0.99	0.99	-0.3
ENSG00000164620	RELL2		-0.4			-0.6	0.5	0.4	0.99	-2.6	-1.0	0.1	-0.6	-0.5		0.99	-0.5	-0.3	-0.4	-0.6
ENSG00000164626	KCNK5	2.0	-0.3	0.8		-0.6	0.3	0.2	0.3	-5.0	-3.0	-0.6	-1.0	1.8		-0.8		-0.1	5.1	0.99
ENSG00000164631	ZNF12	0.8	0.7	-2.0	-0.6	-0.1	0.99	-0.3	-0.7	0.1	0.6	0.1	3.9	0.8		-0.3	0.99	0.99	-2.6	0.99
ENSG00000164638	SLC29A4	-0.6	-0.6			-0.1	-0.8	-0.8	0.99	0.8	0.1	2.3	-1.1	-1.3		0.99	-0.1	-0.4	4.1	0.3
ENSG00000164647	STEAP1	-2.1	-0.4	-1.5	-0.5	-1.2	1.9	2.1	0.99	-1.1	-0.7	0.5	0.3	0.6		0.7	0.5	-0.1	3.2	0.99
ENSG00000164649	CDCA7L	0.1	0.4			-0.7	-2.1	-1.0	1.9	-0.2	-0.8	0.8	-0.8	0.99		-0.9	0.3	0.3	1.0	-1.1
ENSG00000164651	SP8	-0.5				0.99	0.1	0.2	0.99			1.8	-0.4	0.2		0.5	0.6			0.99
ENSG00000164654	MIOS	1.7		0.6		0.99	0.3	0.3	0.99	-0.9	0.99	0.3	1.6	0.5		0.99	0.2	0.2	0.3	-0.5
ENSG00000164659	KIAA1324L	-0.3				-0.7	-0.3	-0.3	3.5	0.99	-1.0	-0.3	1.6	-0.8		-0.3	-0.4	0.99	-0.9	-0.2
ENSG00000164663	USP49	1.2	0.6			-0.5	-0.4	-0.7	-1.5	-0.3	1.0	1.2	2.2	0.2		0.3	-0.2	-0.2	0.9	0.99
ENSG00000164669	INTS4P1					0.99	0.99	0.1	-0.4			2.2	-0.7	0.3		0.99	-0.3		-1.9	0.2
ENSG00000164674	SYTL3	-0.2				-0.5	1.0	0.5	0.6	0.2	-1.1	-1.2	-1.2	-1.0		0.99	0.99	0.2	2.7	0.7
ENSG00000164683	HEY1	0.6	-0.2	0.8		-1.1	1.1	1.9	1.4	-1.3	-2.1	-0.5	1.2	-1.5	0.99		-0.6	0.3	0.99	0.99
ENSG00000164684	ZNF704	-0.3	0.2			0.1	-2.1	-2.4	0.8			1.1	-0.5	1.3	0.4	-0.8	0.2	0.1	2.2	-0.4
ENSG00000164687	FABP5									-1.3	-0.2	0.6		1.3			-0.7	-0.3	2.4	
ENSG00000164690	SHH	-0.3	-0.3	0.7		-0.5	0.99	0.99	-0.8			-0.7	-0.6			0.99	-1.9		-1.6	
ENSG00000164691	TAGAP	-0.2				0.99	-0.2	-0.2	-0.4			-1.2	-0.7	-0.9		-0.3		-0.3	-3.1	0.2
ENSG00000164692	COL1A2	-1.3	-0.2	0.1		1.7	2.2	0.99	1.1	-0.1	-0.9	-0.5	-0.6			-1.1	0.5		1.2	0.99
ENSG00000164695	CHMP4C	1.2	0.2			-0.9	-0.1	0.99	0.3	0.1	-0.1	0.4	2.5	-1.0	1.3	0.2			4.2	0.99
ENSG00000164707	SLC13A4	-0.4		0.7		0.99	-0.2	-0.1	0.2	-0.6	-1.9	0.1	-0.9	-1.0			0.99	-0.5	-3.6	
ENSG00000164713	BRI3	-1.4	-0.5			0.99	-0.3	-0.8	-0.1	-0.5	-0.2	-1.1	-1.3	0.99		0.99	0.1	0.2	0.4	-0.1
ENSG00000164715	LMTK2	0.8	-0.2	0.3		0.99	-0.1	-0.2	0.99	0.99	-1.0	-0.5	2.0	-0.5		0.7	-0.1	-0.2	-0.8	0.99
ENSG00000164733	CTSB	-0.7	-0.1	-0.2		-0.5	-0.6	-0.8	0.99	0.7	0.3	-0.8	-1.3	-0.7	-0.2		0.2	-0.4	1.3	0.9
ENSG00000164741	DLC1	0.3	0.8	-0.6		-0.8	2.1	1.4	-0.9			-3.1	-0.5	-1.6	0.99	-0.4	0.3	0.1	2.9	0.99
ENSG00000164742	ADCY1	-0.4		-0.3	0.3	0.2	0.99	0.99	0.99	-2.6	-4.6	2.0	0.99	0.6			0.2	-0.2	5.2	-0.8
ENSG00000164744	SUN3		-0.5			-3.1	0.3	0.3	0.99			0.9	3.4	-0.2					-2.6	0.99
ENSG00000164746	C7orf57		-0.4			-5.1	0.99	0.99	0.99			0.4	0.99	-0.7		0.4		-0.1	-0.9	0.2
ENSG00000164749	HNF4G	0.3	0.5	0.7		-0.3	0.99	0.2	0.6	0.2	-0.3	1.2	0.99	0.99	0.6	0.3	-1.2			0.2
ENSG00000164751	PEX2	-0.1	-0.1	-2.5	-0.8	-0.3	-1.0	-1.2	-0.8	-0.6	-0.2	0.2	0.4	0.6	0.99		0.99	0.99	0.7	-0.3
ENSG00000164754	RAD21	0.4	0.3	-1.6	-0.6	-0.1	0.5	0.3	1.3	0.6	-0.1	1.0	1.4	-0.4	0.3	-0.6	0.3	0.1	0.99	-0.2
ENSG00000164756	SLC30A8	-0.4				-0.2	-0.2	-0.1	0.2	-1.0	-1.5	0.9	-1.3	0.8	0.99	0.99			0.3	
ENSG00000164758	MED30	0.5	-0.5			-0.5	-0.3	-0.5	-0.3	-0.3	0.2	0.2	0.7	-2.0	0.99	-1.8	0.99	0.3	1.0	-0.8
ENSG00000164761	TNFRSF11B	-0.5	-0.5	0.1		0.5	-5.5	-5.4	-2.2	1.2	0.99	-1.5	-0.5		0.6	-0.8	-0.6		0.99	0.1
ENSG00000164764	SBSPON	-0.8	0.1	0.6		0.99	-6.0	-5.5	0.6	-1.0	-1.8	-0.1	-0.9	0.4	0.99		-0.1	0.99	-3.8	0.1
ENSG00000164776	PHKG1	-0.2		0.3	0.2	0.99	-0.7	-0.5	-0.3	-0.6	-1.8	0.8	-0.4	-0.1		0.2	-1.2	-0.2	-0.2	0.99
ENSG00000164796	CSMD3	-0.1				0.99	-0.1	-0.2	-0.3			0.8	-0.6	-0.2	0.99		-0.8	-1.0	0.99	
ENSG00000164808	SPIDR	0.2	-0.1	-0.5	-0.3	-0.4	0.99	-0.4	0.99	0.8	1.2	0.2	0.3	0.3	0.99	-0.4	-0.5	0.1	0.99	-0.2
ENSG00000164818	DNAAF5	0.4	-0.7	0.5		0.6	0.6	0.8	1.8	0.6	0.3	0.2	0.99	0.1		0.99	0.99	0.2	0.3	-0.7
ENSG00000164821	DEFA4			0.6		0.99	-0.2	-0.2	-0.1			1.8	-0.7		0.99					-1.0
ENSG00000164822	DEFA6	-0.3	-0.2	1.1		0.99	0.2	0.99	-0.2			1.2	-0.5		0.99					0.1
ENSG00000164823	OSGIN2	-0.1	-0.1	-0.1		-0.3	-0.6	-0.4	-0.8	-0.2	-0.7	-0.7	1.7	0.99	1.4	0.3	0.4	0.5	0.3	1.8
ENSG00000164825	DEFB1	-2.9	0.5	0.8		-0.4	-0.1	-0.1	0.7			2.4	0.2	0.4	0.2	0.99				-0.7
ENSG00000164828	SUN1	0.3	-0.7	-1.3		-0.4	-0.1	0.99	-0.3	0.4	-0.2	0.3	0.8	0.3		-0.5	-0.4	-0.3	-0.5	-0.6
ENSG00000164830	OXR1	0.9	0.7	-1.6	-1.0	0.1	-0.1	-0.2	-0.1	0.3	-0.4	-0.1	3.2	-0.4	1.0	0.8	0.1	-0.1	-1.6	-0.3
ENSG00000164845	FAM86FP									-1.5	-1.0	0.2		-0.4			-0.2	-0.1	-1.5	
ENSG00000164849	GPR146	-0.3				-0.4	-0.7	-0.7	0.99	-2.9	-2.6	0.1	-0.5	0.6		-0.6	0.99	0.1	-1.6	-0.6
ENSG00000164850	GPER1	-2.0	-0.4	0.4		1.5	-0.1	-0.1	-0.3	-3.0	-3.0	-0.2	-0.6	1.8		0.3	0.99	-0.3	2.3	0.1
ENSG00000164855	TMEM184A	-0.4				0.1	0.3	0.3	0.4	0.7	0.7		-0.3	1.3				-0.2	-0.7	0.99
ENSG00000164867	NOS3		-0.7	-0.1	0.99	1.1	0.3	0.5	0.8	2.1	0.99	-1.1	-1.9	0.3		0.4		-0.4	-1.0	-0.5
ENSG00000164877	MICALL2	0.3	-1.1	1.0		0.99	0.2	0.2	-0.6	1.2	0.7	-0.4	0.6	2.7		-0.3	-1.6	-0.2	-0.1	-0.4
ENSG00000164880	INTS1	0.1	-0.6	0.6		0.1	0.4	0.3	0.99	1.8	1.0	0.3	-0.9	-0.5		0.7	-0.5		-0.3	-0.4
ENSG00000164885	CDK5	0.3	-0.8	-0.4	0.99	0.99	-0.3	-0.7	0.99	0.1	0.3	1.1	-0.7	0.9		1.5	-0.1	0.99	2.0	-0.4
ENSG00000164889	SLC4A2		-0.7	0.99		0.99	1.2	0.9	1.7	0.5	0.2	-0.4	-1.2	-0.1		1.2	-0.1	-0.3	0.5	-0.3
ENSG00000164896	FASTK									-0.6	0.9	0.4		0.99			-0.6	-0.2	-1.0	
ENSG00000164897	TMUB1	-0.6				0.6	-0.7	-0.9	0.6	0.4	1.3	0.4	-0.7	0.6		0.1	-0.1	-0.4	0.9	-0.4
ENSG00000164898	FMC1									-1.6	1.3	1.1		-0.2			0.1	0.1	0.5	
ENSG00000164900	GBX1	-0.5		0.6		0.99	0.2	0.2	0.99	-4.0	-4.0	1.5	-0.7	0.99		0.4			0.99	
ENSG00000164902	PHAX					-0.8	-0.6	-0.5	0.99	-0.5	0.3	0.4	1.0	0.5		0.6	0.99	0.3	0.4	0.4
ENSG00000164904	ALDH7A1	-0.6		0.8		0.5	-1.1	-0.9	0.3	-0.6	-0.6	0.1	0.99	0.9			-0.1		2.1	
ENSG00000164916	FOXK1	1.4	-0.3			-0.4	-0.3	-0.7	0.6	0.5	-0.4	-0.2	0.5	-1.3		0.99	-0.2	0.2	-0.8	-0.2
ENSG00000164919	COX6C		0.2	-0.9		0.99	-0.7	-0.5	0.3	0.6	1.0	0.6	0.5	-0.3	-0.9	-0.5	0.2	0.4	1.1	0.99
ENSG00000164920	OSR2	-0.2	-0.3	0.5		1.1	1.4	0.5	1.1	-3.4	-1.5	0.8	-2.2		-0.5		0.99	0.5	0.99	0.8
ENSG00000164924	YWHAZ	-0.8	-0.2	-0.1		0.99	0.8	0.8	1.0	1.2	0.5	0.5	0.7	0.2	0.99	0.9	0.5	0.2	0.5	-0.3
ENSG00000164929	BAALC	0.1	-0.3	0.4	0.99	0.1	0.3	0.99	-0.1	0.9	-1.0	0.6	0.99	-0.6	0.3	0.6	0.4	0.2		1.1
ENSG00000164930	FZD6	1.4	0.3	-3.0	-0.9	-0.7	-0.8	-0.8	-0.7	0.3	0.99	-0.4	3.0	-1.3	0.99	-1.6	0.3	-0.1	0.5	-0.5
ENSG00000164932	CTHRC1	-1.3	0.1			0.99	0.8	0.9	0.99	-1.5	-3.6	-0.1	3.2	1.0	0.99	-3.9		-0.2	-0.5	0.7
ENSG00000164933	SLC25A32									-1.1	0.8	0.3		1.3			0.99		-2.0	
ENSG00000164934	DCAF13	0.1	-0.4	0.8	0.99	0.99	1.0	1.0	0.3	-0.2	0.3	1.0	3.1	1.2	0.3	-0.3	-0.1	0.1	0.99	-0.5
ENSG00000164938	TP53INP1	0.6	1.0			-0.8	-2.9	-2.9	-0.8	-1.2	-2.5	-0.3	2.1	-0.6	0.99	-0.4	0.4	0.99	0.2	0.8
ENSG00000164941	INTS8	1.0	0.2	-0.7		0.6	0.6	0.7	-0.7	0.1	-0.3	0.5	0.5	0.9	-0.2		0.99	0.2	-0.4	0.99
ENSG00000164944	VIRMA	1.0				0.99	0.7	0.6	0.4	0.5	-0.4	0.4	3.0	-0.5	0.7	0.99	0.99	-0.2	-0.7	0.99
ENSG00000164949	GEM	-0.2	-0.6	-0.8	0.4	-0.9	2.1	2.2	0.3	-0.9	-0.4	-1.1	1.8	1.3	1.6	1.3	0.1	2.7	4.8	2.4
ENSG00000164951	PDP1		0.1	-0.7	-0.2	-1.2	0.6	0.99	-0.6	-1.5	-1.3		-0.3	-0.6	0.8	-0.2	-0.3	0.7	-1.3	-0.8
ENSG00000164953	TMEM67	1.0	1.4			-0.1	-0.9	-0.8	-0.8	-0.5	-0.3	0.2	1.0	0.5	1.1	-0.5	-0.3	-0.3	-1.6	0.7
ENSG00000164961	WASHC5		0.4	-1.1		-0.3	-0.3	-0.3	0.6	0.5	-0.1	-0.2	1.6	0.3	-0.3	0.4	-0.1		-0.4	-0.4
ENSG00000164967	RPP25L					0.99	-0.3	-0.5	0.99	-0.9	1.1	1.3	-2.6	-0.1		-0.6	-0.1	0.2	1.3	0.99
ENSG00000164975	SNAPC3	1.0		-1.3		0.7	-0.6	-0.4	-0.6	-0.2	-1.0	0.7	1.5	0.4		0.3	0.99		0.3	-0.5
ENSG00000164976	MYORG	-1.5				0.3	-0.6	-0.6	0.3	0.8	-0.5	0.2	-0.9	0.7		0.3	-2.2	0.1	3.8	0.99
ENSG00000164978	NUDT2	-0.5	-0.5	-0.2		-0.3	-0.3	-0.6	0.2	0.4	0.8		-1.6	0.6		-1.3	0.2	0.3	1.6	-0.4
ENSG00000164983	TMEM65	0.6	-0.4			-0.8	1.1	0.8	1.2	0.6	-0.6	0.3	2.3	-0.6	1.4	-0.2	0.3	-0.3	0.1	-0.2
ENSG00000164985	PSIP1	0.6		-0.6	-0.5	-0.3	0.99	-0.3	0.7	0.1	-0.4	1.7	0.99	-0.9		-3.7	0.3	0.1	-1.2	-0.3
ENSG00000165006	UBAP1	0.7	-0.6	0.4		-0.6	-0.2	-0.3	-0.4	-0.1	-0.4	-0.6	0.99	-0.7		0.3	0.99	0.2	1.0	0.99
ENSG00000165023	DIRAS2	-0.4	0.4	0.3		0.99	0.1	0.99	0.99			2.8	0.99			4.6		0.8	0.99	0.2
ENSG00000165025	SYK	-0.7	-0.2	-0.2		-0.9	0.4	0.99	-0.1			0.8	-1.3	-0.3		0.99		0.3	2.2	-1.0
ENSG00000165028	NIPSNAP3B			0.4		-0.1	0.99	-0.2	0.99	-1.7	-2.3	-0.4	-0.6	0.5		-0.1	0.7	-0.2	-0.9	-0.1
ENSG00000165029	ABCA1	0.2		0.99		-3.1	-2.3	-2.0	-3.8	-0.2	-1.1	-1.7	-0.8	0.1		1.2	-0.3	-0.4	-2.0	0.5
ENSG00000165030	NFIL3	0.3	0.2	-0.3		0.99	0.5	0.99	-1.4	1.1	0.6	-0.9	2.5	-2.5		-0.6	-0.6	0.4	4.2	0.4
ENSG00000165046	LETM2		-1.5			-1.0	1.6	2.5	0.1	-1.1	1.8	0.3	0.99	0.8	0.99	-0.2	-0.4	-0.3	1.7	-0.2
ENSG00000165055	METTL2B	1.6	-0.3	1.0		0.2	-0.4	-0.7	-0.4	0.4	0.1	0.6	0.4	0.8		-0.9	-0.4	0.99	0.8	-0.4
ENSG00000165060	FXN	0.1	-0.5	-0.6	0.99	-0.3	0.4	0.4	1.5	-1.8	-2.2	0.1	-2.1	1.8		0.99	0.99	0.2	-2.0	-0.8
ENSG00000165061	ZMAT4			0.6		0.99	-0.3	-0.3	0.99			2.2	-0.8		0.99	0.99	-0.2			0.3
ENSG00000165071	TMEM71		-0.3			-0.1	0.1	0.99	-0.1			-1.6	0.99	-0.7	0.99	-1.5	0.3		-0.8	-0.7
ENSG00000165072	MAMDC2					0.99	-2.1	-3.3	0.2	0.7	0.3	-2.3	-0.6	0.2					-1.3	
